consonant,voice,place,manner,prosody,noipow,voipow,subject,token
p,0,0,0,0,142.79,120.71,7,6
p,0,0,0,0,135.49,108.91,5,7
s,0,1,1,0,160.93,106.69,7,10
f,0,0,1,0,138.68,98.89,20,2
b,1,0,0,0,144.49,119.96,1,2
t,0,1,0,0,153.52,111.82,6,6
d,1,1,0,0,142.55,116.38,20,6
v,1,0,1,0,135.98,122.48,4,9
t,0,1,0,0,152.7,111.5,3,4
v,1,0,1,0,144.16,115.92,15,3
s,0,1,1,0,145.61,121.36,19,10
d,1,1,0,0,143.48,116.35,3,6
d,1,1,0,0,152.93,121.27,13,5
b,1,0,0,0,134.93,116.81,7,7
s,0,1,1,0,158.54,109.9,13,7
v,1,0,1,0,136.96,128.39,20,2
b,1,0,0,0,142.74,122.7,9,4
t,0,1,0,0,154.51,124.04,14,1
p,0,0,0,0,138.84,119.52,17,7
t,0,1,0,0,137.41,117.24,17,3
v,1,0,1,0,144.61,122.39,14,10
s,0,1,1,0,160.57,113.94,6,10
d,1,1,0,0,146.19,129.48,14,8
p,0,0,0,0,148.5,108.51,16,4
p,0,0,0,0,128.29,112.15,19,1
s,0,1,1,0,160.67,108.2,9,7
v,1,0,1,0,132.72,117.86,20,5
v,1,0,1,0,150.38,125.24,10,8
f,0,0,1,0,158.59,111.44,9,9
z,1,1,1,0,144.31,121.26,5,9
t,0,1,0,0,141.83,120.12,17,5
v,1,0,1,0,135.42,110.98,5,9
b,1,0,0,0,139.03,129.22,14,3
f,0,0,1,0,143.44,104.59,13,10
f,0,0,1,0,138.37,106.63,17,2
z,1,1,1,0,154.63,122.21,3,9
t,0,1,0,0,143.92,113.41,5,5
z,1,1,1,0,153.63,112.36,12,7
f,0,0,1,0,138.63,113.42,11,7
d,1,1,0,0,147.39,121.15,12,7
z,1,1,1,0,161.56,127.25,10,5
b,1,0,0,0,138.55,119.3,1,1
f,0,0,1,0,147.15,110.88,9,1
t,0,1,0,0,160.02,119.69,10,2
s,0,1,1,0,153.9,106.73,18,7
b,1,0,0,0,134.34,122.37,16,6
f,0,0,1,0,155.45,114.54,8,10
t,0,1,0,0,148.68,117.59,18,1
t,0,1,0,0,145.6,112.46,17,1
t,0,1,0,0,158.46,122.34,1,2
p,0,0,0,0,141.24,111.63,12,5
p,0,0,0,0,150.78,120.99,15,2
s,0,1,1,0,167.38,112.67,8,1
z,1,1,1,0,152.4,124.13,1,10
t,0,1,0,0,147.45,125.1,18,4
z,1,1,1,0,147.7,107.46,3,2
s,0,1,1,0,146.84,107.28,5,2
v,1,0,1,0,132.77,122.9,4,8
v,1,0,1,0,136.53,109.2,12,1
t,0,1,0,0,148.32,124.2,17,8
v,1,0,1,0,135.01,104.88,13,4
b,1,0,0,0,137.02,118.36,10,8
b,1,0,0,0,136.45,110.97,5,4
p,0,0,0,0,139.95,114.76,1,3
s,0,1,1,0,166.49,115.79,8,8
d,1,1,0,0,153.77,129.71,9,1
s,0,1,1,0,156.27,100.81,20,10
p,0,0,0,0,149.71,119.29,4,7
f,0,0,1,0,142.19,106.09,18,1
d,1,1,0,0,132.93,115.11,20,7
s,0,1,1,0,163.63,109.5,7,2
v,1,0,1,0,127.63,117.23,18,4
z,1,1,1,0,145.95,121.6,19,8
f,0,0,1,0,151.73,112.17,8,1
t,0,1,0,0,145.01,109.28,20,2
v,1,0,1,0,140.56,126.02,19,6
p,0,0,0,0,147.55,110.49,16,1
d,1,1,0,0,139.02,110.1,19,4
t,0,1,0,0,140.1,114.63,19,5
b,1,0,0,0,141.99,123.01,8,9
d,1,1,0,0,140.5,111.19,2,6
p,0,0,0,0,133.1,111.56,5,6
s,0,1,1,0,157.81,104.22,17,4
t,0,1,0,0,167.93,114.39,11,4
b,1,0,0,0,130.55,114.33,3,2
p,0,0,0,0,147.88,112.72,15,1
b,1,0,0,0,132.28,122.37,15,10
p,0,0,0,0,150.43,123.75,8,7
t,0,1,0,0,153.97,115.12,12,1
t,0,1,0,0,155.03,114.22,3,8
t,0,1,0,0,143.11,110.34,18,3
f,0,0,1,0,142.86,102.16,19,3
s,0,1,1,0,163.45,118.36,10,2
p,0,0,0,0,129.72,105.07,18,8
v,1,0,1,0,135.72,126.7,12,7
s,0,1,1,0,160.7,114.94,4,6
s,0,1,1,0,161.14,117.07,4,7
z,1,1,1,0,154.47,122.5,19,7
v,1,0,1,0,137.02,115.07,18,9
s,0,1,1,0,164.43,110.62,16,7
p,0,0,0,0,130.66,112.8,2,7
f,0,0,1,0,137.82,108.58,5,8
d,1,1,0,0,141.46,113.78,19,6
f,0,0,1,0,140.92,107.71,18,10
p,0,0,0,0,141.03,116.34,7,5
f,0,0,1,0,153.3,113.03,10,10
v,1,0,1,0,138.77,119.41,17,7
t,0,1,0,0,156.38,107.07,7,4
b,1,0,0,0,137.09,113.9,17,1
s,0,1,1,0,160.87,108.96,15,6
p,0,0,0,0,138.06,126.86,17,8
v,1,0,1,0,139.52,120.63,16,3
z,1,1,1,0,152.34,126.82,4,1
t,0,1,0,0,156.13,122.81,1,6
d,1,1,0,0,139.36,108.92,5,9
p,0,0,0,0,143.48,118.67,9,7
z,1,1,1,0,160.11,119.93,15,3
v,1,0,1,0,135.07,109.43,5,8
p,0,0,0,0,140.88,118.19,3,9
d,1,1,0,0,143.51,128.28,17,4
s,0,1,1,0,160.92,117.91,4,1
f,0,0,1,0,131.2,108.8,5,6
v,1,0,1,0,149.4,116.49,1,3
v,1,0,1,0,133.38,127.31,17,10
s,0,1,1,0,149.42,115.44,17,9
d,1,1,0,0,140.42,118.85,5,5
b,1,0,0,0,131.83,111.91,11,8
d,1,1,0,0,138.22,114.89,4,5
v,1,0,1,0,137.05,118.81,19,10
d,1,1,0,0,141.18,121.09,17,3
b,1,0,0,0,146.23,128.8,13,4
v,1,0,1,0,135.43,122.16,3,7
b,1,0,0,0,133.82,110.51,3,1
s,0,1,1,0,154.59,100.22,7,8
s,0,1,1,0,164.44,115.88,10,5
v,1,0,1,0,138.52,118.53,20,10
z,1,1,1,0,159.75,124.24,16,5
d,1,1,0,0,160.18,132.59,10,1
z,1,1,1,0,143.84,115.69,19,1
v,1,0,1,0,143.69,122.54,16,7
z,1,1,1,0,161.47,121.09,7,7
b,1,0,0,0,138.0,116.2,11,2
b,1,0,0,0,136.68,117.91,13,10
z,1,1,1,0,152.38,120.79,12,2
f,0,0,1,0,147.13,112.91,14,7
p,0,0,0,0,145.86,112.07,6,7
s,0,1,1,0,155.62,110.05,3,6
d,1,1,0,0,156.91,118.03,10,4
