consonant,voice,place,manner,prosody,condur,vowdur,subject,token
s,0,1,1,1,224,312,16,3
t,0,1,0,1,203,204,16,3
d,1,1,0,1,94,221,2,5
f,0,0,1,1,170,184,12,1
d,1,1,0,1,191,271,20,8
d,1,1,0,1,138,226,19,9
f,0,0,1,1,181,270,7,6
s,0,1,1,1,230,220,13,5
f,0,0,1,1,174,207,11,5
b,1,0,0,1,174,239,19,1
z,1,1,1,1,151,274,12,1
z,1,1,1,1,153,301,5,1
t,0,1,0,1,204,177,19,7
p,0,0,0,1,158,228,14,4
b,1,0,0,1,125,207,11,2
v,1,0,1,1,174,263,19,2
d,1,1,0,1,59,239,4,8
z,1,1,1,1,185,287,11,6
d,1,1,0,1,108,271,16,1
v,1,0,1,1,200,261,2,10
d,1,1,0,1,96,268,5,1
f,0,0,1,1,200,271,16,10
s,0,1,1,1,225,297,4,6
s,0,1,1,1,228,164,17,7
t,0,1,0,1,245,215,2,5
z,1,1,1,1,199,324,5,7
p,0,0,0,1,136,156,1,2
f,0,0,1,1,177,222,13,9
z,1,1,1,1,160,262,17,5
d,1,1,0,1,106,246,13,1
z,1,1,1,1,192,346,14,10
d,1,1,0,1,143,302,14,2
s,0,1,1,1,167,349,7,9
b,1,0,0,1,120,201,17,5
d,1,1,0,1,207,280,11,1
b,1,0,0,1,189,305,12,8
v,1,0,1,1,149,240,19,4
t,0,1,0,1,192,138,17,1
s,0,1,1,1,261,188,17,3
s,0,1,1,1,231,173,17,1
p,0,0,0,1,236,163,2,1
v,1,0,1,1,150,265,9,8
v,1,0,1,1,172,290,18,7
d,1,1,0,1,112,277,12,10
v,1,0,1,1,176,234,4,4
v,1,0,1,1,190,337,15,8
v,1,0,1,1,209,416,3,4
z,1,1,1,1,185,325,7,8
z,1,1,1,1,179,301,13,8
p,0,0,0,1,211,176,18,4
t,0,1,0,1,167,238,4,2
p,0,0,0,1,88,190,9,6
t,0,1,0,1,317,192,2,1
v,1,0,1,1,230,322,11,9
z,1,1,1,1,171,336,7,2
