idx,Talker,TalkerID,Vowel,VowelNum,Fricative,FricativeNum,Rep,HasPerceptualData,F0,F1,F2,F3,F4,F5,maxpf,rms_f,rms_v,dur_f,dur_v,lowF,F3ampF,F3ampV,F5ampF,F5ampV,M1,M2,M3,M4,M1trans,M2trans,M3trans,M4trans
66,M6,1,eh,3,z,6,3,0,135.9389483,435.904753,1614.918519,2682.89496,4208.804719,5122.202462,8417,70.38,77.58,74,147,47.85,-13.287,-1.399,-19.791,-27.862,7514.695,1140.762968,-2.03,10.445,5719.34,9215641.5,-0.9,-0.7
67,M6,1,eh,3,sh,7,1,0,166.9495773,553.654803,1520.835585,2585.022465,3324.041812,4508.710801,3252,68.78,76.86,149,108,33.328,-16.129,-1.84,-27.042,-21.889,4704.655,1722.290902,0.625,-0.715,1516.27,3364730.3,2.73,7.9
68,M6,1,eh,3,sh,7,2,0,154.3548964,489.400054,1620.223592,2692.063899,3583.330459,4745.644599,3301,66.33,77.77,156,123,36.217,-3.942,-0.715,-6.401,-24.515,4311.165,1531.703447,0.925,-0.2,3901.98,5260530.1,0.3,-0.41
69,M6,1,eh,3,sh,7,3,0,111.9924,485.951548,1562.107489,2599.072404,3388.934926,4606.271777,2949,67.26,76.2,153,134,32.858,-6.725,-2.708,-19.321,-29.132,4382.88,1601.564563,0.905,-0.18,2363.21,4057019.2,1.5,2.53
70,M6,1,eh,3,zh,8,1,0,115.5800298,454.181085,1731.971829,2782.413796,3463.414634,4090.592334,3227,72.86,78.52,107,134,51.853,-2.669,3.88,-5.421,-13.205,4269.945,2230.614624,0.4,-0.77,3309.82,3986998,0.78,0.45
71,M6,1,eh,3,zh,8,2,0,132.2073638,421.232971,1810.811074,2836.532613,3379.790941,4160.278746,3188,70.9,78.24,83,139,44.321,0.027,2.065,-2.553,-14.954,3790.97,1340.559976,1.61,2.03,3415.04,2205993.6,0.64,2.06
72,M6,1,eh,3,zh,8,3,0,110.4008699,411.519738,1835.030061,2543.554007,3407.665505,4313.58885,3234,71.51,77.8,81,152,49.087,-0.315,-6.539,-1.722,-18.567,4865.63,1845.388658,0.045,-1.035,3765.17,4645332.1,0.07,-0.65
73,M6,1,a,4,f,1,1,0,111.0264049,699.146719,1206.835096,2312.737505,3336.943125,4950.445448,8399,53.7,76.62,139,114,31.603,-24.602,-2.48,-30.504,-14.79,6590.875,1952.653515,-0.76,1.57,1243.04,1260033.7,4.27,22.87
74,M6,1,a,4,f,1,2,0,109.3310607,642.00084,1098.836258,2337.460139,3403.244931,4970.501233,7128,53.68,79.4,124,126,30.607,-30.504,-2.722,-39.297,-16.063,6740.515,2184.596805,-0.82,0.855,949.61,668009.9,7.02,62.37
75,M6,1,a,4,f,1,3,0,108.3577271,633.256049,1086.627535,2327.053614,3335.693337,4550.943396,8172,52.21,76.85,132,115,28.449,-30.523,-2.511,-36.656,-21.63,7379.125,2100.178481,-1.245,2.115,965.31,958861.04,6.28,46.84
76,M6,1,a,4,v,2,1,0,121.8590742,550.76861,1151.034664,2253.47162,3443.916059,3992.45283,8115,65.79,78.41,88,141,44.337,-22.086,-0.728,-24.752,-21.612,7530.235,2596.85375,-1.975,3.575,1603.01,4877978.9,2.44,4.77
77,M6,1,a,4,v,2,2,0,131.4294142,564.52549,1056.826495,2301.720497,3297.478119,4052.830189,8734,61.13,79.44,63,135,38.069,-27.911,-3.354,-31.089,-24.518,7332.145,2610.807222,-1.69,2.075,1133.72,2256169.2,4.05,16.51
78,M6,1,a,4,v,2,3,0,109.3746159,505.138206,1139.088573,2417.776424,3388.679245,4022.641509,7154,61.47,77.57,59,133,37.975,-18.581,-7.308,-29.781,-26.135,7317.635,2068.496821,-1.515,2.445,1551.46,4881926.4,2.53,5.17
79,M6,1,a,4,th,3,1,0,150.1762236,618.511808,1254.033149,2347.566621,3939.41004,5018.180351,8410,53.98,76.6,129,139,30.963,-25.186,-6.156,-38.111,-9.193,7156.2,1520.967866,-1.31,2.51,1581.19,4832093.3,2.53,5.25
80,M6,1,a,4,th,3,2,0,136.7214399,561.161817,1337.981348,2438.652678,3921.576637,5251.510719,1416,53.02,78.6,104,132,27.583,-27.335,-5.257,-27.897,-13.931,7293.345,1288.950484,-1.54,4.635,2727.94,10619567,1.25,-0.15
81,M6,1,a,4,th,3,3,0,119.06472,599.150313,1331.793667,2394.909458,3936.126517,5234.842239,8264,51.87,78.03,112,131,26.34,-31.968,-4.845,-18.335,-15.384,7361.785,1192.30382,-1.355,4.845,2528.02,8452722.9,1.31,0.09
82,M6,1,a,4,dh,4,1,0,125.3038702,459.439749,1438.784153,2524.37445,3965.036047,5205.658039,8139,69.72,76.59,49,138,45.743,-15.415,-2.79,-33.77,-26.103,5069.57,3309.926359,-0.465,-1.415,3351.97,11203126,0.58,-1.38
83,M6,1,a,4,dh,4,2,0,109.8510911,462.883465,1368.407209,2508.920182,3880.663263,5109.433962,8483,64.9,77.78,59,143,41.553,-25.258,-1.839,-20.781,-25.623,7215.735,1859.627933,-1.925,4.86,4172.51,12181071,0.13,-1.71
84,M6,1,a,4,dh,4,3,0,105.6709968,413.561069,1409.42238,2473.730114,3946.201764,4822.641509,7630,66.38,75,67,126,43.652,-21.026,-9.252,-24.148,-30.716,5844.195,2808.189728,-1.025,-0.215,2651.67,9751007.5,1.06,-0.55
85,M6,1,a,4,s,5,1,0,103.7508432,695.596657,1313.01733,2404.227375,3827.112584,4837.735849,6975,63,76.25,152,115,29.197,-32.805,3.897,-44.176,-24.633,7149.27,1001.684783,-0.175,1.86,1189.8,944525.41,4.76,31.78
86,M6,1,a,4,s,5,2,0,105.1668598,698.719889,1323.641026,2436.014756,3904.219846,4898.113208,6995,60.79,76.68,148,111,29.521,-39.262,-2.273,-43.02,-23.938,7197.32,1039.922971,-0.29,1.72,1204.71,1144304,4.13,22.71
87,M6,1,a,4,s,5,3,0,110.7911529,617.133314,1276.939825,2429.27961,3449.056604,4762.264151,7783,66.24,71.54,131,133,35.945,-25.005,-2.515,-28.087,-29.677,7262.535,1141.266577,0,0.3,1404.34,3218793.8,2.58,5.78
88,M6,1,a,4,z,6,1,0,129.0513993,440.85303,1428.668263,2592.502902,4123.173403,5425.604522,6060,71.49,78.08,78,140,49.528,-13.481,-2.856,-24.092,-27.24,6578.33,1902.813417,-2,5.125,5477.5,7623801,-0.89,-0.5
89,M6,1,a,4,z,6,2,0,148.5327279,460.322384,1548.57269,2528.301887,3418.867925,4445.283019,6362,70.99,77.85,76,137,48.277,-13.415,-3.772,-12.19,-21.4,7017.065,1177.141856,-1.225,6.775,5284.5,6379874.9,-0.55,-0.64
90,M6,1,a,4,z,6,3,0,108.1719033,435.232833,1409.262584,2549.296693,4128.948575,5375.719577,7947,68.27,76.74,84,136,45.218,-19.445,-6.405,-8.936,-31.465,7664.72,1023.541377,-0.44,3.475,6060.21,9496672.5,-1.01,-0.55
91,M6,1,a,4,sh,7,1,0,117.1929805,599.958483,1355.417618,2505.002363,3321.026397,4098.113208,3318,69.14,78.23,138,116,36.63,-13.82,1.824,-16.069,-24.168,4517.785,1629.148106,0.97,0.435,2204.54,5384939.7,1.7,2.24
92,M6,1,a,4,sh,7,2,0,115.3191405,581.691079,1332.181373,2463.460473,3286.530985,4475.471698,3198,67.96,78.37,145,122,,-16.917,-3.114,-20.692,-24.072,4608.88,1632.931015,0.69,-0.68,1779.8,3911194.5,2.18,4.71
93,M6,1,a,4,sh,7,3,0,113.0799068,570.841723,1312.800042,2503.538458,3323.19808,4923.232258,3163,67.97,77.37,151,139,34.452,-6.372,-7.076,-19.627,-20.557,4569.38,1673.273513,0.61,-0.84,2485.9,3083579.9,0.93,1.73
94,M6,1,a,4,zh,8,1,0,118.4656659,458.569529,1344.710492,2508.109424,3141.955804,4475.471698,2619,72.94,76.81,104,134,51.572,-3.916,-1.096,-16.029,-34.455,3809.255,1891.053701,0.83,-0.125,2869.52,3340324.5,1.08,1.41
95,M6,1,a,4,zh,8,2,0,104.988994,469.277927,1588.540233,2437.735849,3252.830189,4098.113208,2797,70.58,78.96,106,153,49.081,-6.333,1.927,-9.118,-21.003,3784.35,1767.766119,0.88,0.245,3419.83,2711770.5,1,1.58
96,M6,1,a,4,zh,8,3,0,108.8697576,413.858497,1471.698113,2332.075472,3132.075472,4218.867925,2805,70.43,78.9,104,151,48.868,1.285,0.281,-7.287,-21.251,3882.57,1667.608587,0.635,0.44,3397.81,3342795.4,0.55,0.12
