consonant,voice,place,manner,prosody,noipow,voipow,subject,token
z,1,1,1,1,150.82,117.74,6,4
p,0,0,0,1,142.21,111.13,9,9
p,0,0,0,1,142.05,116.37,8,4
p,0,0,0,1,142.11,117.94,4,1
f,0,0,1,1,142.52,107.61,6,3
s,0,1,1,1,151.08,113.31,1,8
f,0,0,1,1,141.3,110.19,12,1
z,1,1,1,1,148.42,126.12,14,10
z,1,1,1,1,144.22,122.97,3,10
z,1,1,1,1,148.03,119.8,20,5
v,1,0,1,1,151.05,118.21,10,2
d,1,1,0,1,130.3,114.89,18,4
f,0,0,1,1,141.14,107.17,16,5
z,1,1,1,1,147.87,126.6,14,5
b,1,0,0,1,121.93,113.67,5,2
s,0,1,1,1,153.06,111.43,12,1
s,0,1,1,1,150.44,109.69,7,8
b,1,0,0,1,142.68,116.71,2,7
b,1,0,0,1,143.27,125.67,8,10
f,0,0,1,1,136.21,105.52,12,8
s,0,1,1,1,157.46,118.41,10,8
b,1,0,0,1,128.11,121.45,12,5
f,0,0,1,1,153.66,121.99,8,4
p,0,0,0,1,135.95,113.38,16,4
d,1,1,0,1,138.7,120.1,20,9
t,0,1,0,1,144.65,108.08,19,4
t,0,1,0,1,151.93,112.39,14,9
s,0,1,1,1,147.26,120.7,3,9
t,0,1,0,1,152.23,116.13,3,7
z,1,1,1,1,158.8,113.75,15,4
p,0,0,0,1,135.79,117.75,17,5
v,1,0,1,1,134.0,120.06,18,6
f,0,0,1,1,144.17,112.95,9,2
z,1,1,1,1,141.0,111.22,5,6
s,0,1,1,1,158.87,111.69,9,2
s,0,1,1,1,156.49,117.97,4,9
v,1,0,1,1,130.21,109.67,17,6
p,0,0,0,1,127.94,108.44,12,5
p,0,0,0,1,131.22,102.75,7,5
f,0,0,1,1,133.06,115.6,17,5
d,1,1,0,1,115.89,112.68,5,1
f,0,0,1,1,143.6,111.18,1,3
p,0,0,0,1,143.32,115.58,3,10
s,0,1,1,1,139.01,106.42,17,3
d,1,1,0,1,139.9,122.46,3,4
t,0,1,0,1,146.43,109.94,19,8
v,1,0,1,1,133.25,113.16,20,3
p,0,0,0,1,145.16,120.06,1,1
b,1,0,0,1,131.46,121.68,15,9
s,0,1,1,1,157.08,124.02,3,8
z,1,1,1,1,140.74,109.7,7,7
p,0,0,0,1,133.11,115.98,17,1
t,0,1,0,1,160.1,113.72,15,1
s,0,1,1,1,148.14,105.16,18,2
z,1,1,1,1,164.75,119.48,16,6
v,1,0,1,1,137.99,111.41,11,9
f,0,0,1,1,146.89,119.13,14,2
b,1,0,0,1,129.77,114.93,18,8
v,1,0,1,1,143.51,108.62,16,8
b,1,0,0,1,128.84,112.62,11,4
b,1,0,0,1,135.31,118.13,4,5
